time,voltage,current,power
0.009,1.337,0.0,0.0
0.113,1.336,0.0,0.0
0.217,1.335,0.0,0.0
0.321,1.334,0.0,0.0
0.425,1.335,0.0,0.0
0.529,1.334,0.0,0.0
0.633,1.337,0.0,0.0
0.738,1.334,0.0,0.0
0.841,1.339,0.0,0.0
0.946,1.335,0.0,0.0
1.049,1.335,0.0,0.0
1.154,1.336,0.0,0.0
1.258,1.333,0.0,0.0
1.361,1.335,0.0,0.0
1.466,1.337,0.0,0.0
1.57,1.34,0.0,0.0
1.674,1.335,0.0,0.0
1.778,1.336,0.0,0.0
1.883,1.335,0.0,0.0
1.986,1.332,0.0,0.0
2.091,1.335,0.0,0.0
2.195,1.335,0.0,0.0
2.298,1.336,0.0,0.0
2.403,1.336,0.0,0.0
2.507,1.335,0.0,0.0
2.611,1.332,0.0,0.0
2.715,1.333,0.0,0.0
2.82,1.332,0.0,0.0
2.923,1.334,0.0,0.0
3.027,1.334,0.0,0.0
3.132,1.335,0.0,0.0
3.235,1.337,0.0,0.0
3.34,1.337,0.0,0.0
3.443,1.338,0.0,0.0
3.548,1.334,0.0,0.0
3.652,1.336,0.0,0.0
3.756,1.336,0.0,0.0
3.86,1.332,0.0,0.0
3.964,1.338,0.0,0.0
4.068,1.336,0.0,0.0
4.172,1.338,0.0,0.0
0.0,1.337,0.0,0.0
0.104,1.33,0.526,0.0
0.208,1.299,0.928,0.0
0.312,1.29,1.338,0.0
0.417,1.29,1.88,0.0
0.521,1.254,1.982,0.0
0.625,1.218,2.592,0.0
0.729,1.244,2.874,0.0
0.833,1.212,3.414,0.0
0.938,1.176,3.632,0.0
1.042,1.174,4.094,0.0
1.147,1.143,4.498,0.0
1.25,1.137,4.612,0.0
1.355,1.162,5.304,0.0
1.459,1.166,4.45,0.0
1.563,1.134,5.458,0.0
1.668,1.135,4.508,0.0
1.772,1.162,5.496,0.0
1.877,1.135,4.532,0.0
1.98,1.131,5.47,0.0
2.085,1.161,4.538,0.0
2.189,1.13,5.458,0.0
2.294,1.157,4.524,0.0
2.398,1.127,4.774,0.0
2.502,1.096,5.588,0.0
2.607,1.13,4.608,0.0
2.71,1.186,5.498,0.0
2.815,1.128,4.532,0.0
2.919,1.156,5.484,0.0
3.024,1.156,4.514,0.0
3.128,1.097,5.486,0.0
3.233,1.128,4.516,0.0
3.337,1.156,5.5,0.0
3.44,1.13,5.22,0.0
3.545,1.157,4.416,0.0
3.649,1.122,5.396,0.0
3.754,1.127,4.532,0.0
3.858,1.124,5.496,0.0
3.963,1.125,4.5,0.0
4.066,1.148,5.496,0.0
4.171,1.152,4.516,0.0
4.275,1.125,5.486,0.0
4.379,1.151,4.524,0.0
4.484,1.123,4.812,0.0
4.588,1.095,5.566,0.0
4.693,1.125,4.576,0.0
4.796,1.176,5.486,0.0
4.901,1.125,4.514,0.0
5.005,1.151,5.488,0.0
5.11,1.15,4.53,0.0
5.214,1.122,5.476,0.0
5.318,1.121,4.542,0.0
5.422,1.094,5.43,0.0
5.526,1.15,5.204,0.0
5.631,1.153,4.408,0.0
5.735,1.122,5.4,0.0
5.84,1.122,4.488,0.0
5.944,1.096,5.446,0.0
6.049,1.121,4.508,0.0
6.152,1.175,5.492,0.0
6.256,1.12,4.536,0.0
6.361,1.145,5.452,0.0
6.465,1.149,4.532,0.0
6.57,1.09,4.804,0.0
6.674,1.12,5.564,0.0
6.778,1.117,4.576,0.0
6.882,1.118,5.472,0.0
6.987,1.13,4.508,0.0
7.091,1.118,5.486,0.0
7.195,1.09,4.544,0.0
7.3,1.117,5.448,0.0
7.404,1.118,4.538,0.0
7.508,1.119,5.456,0.0
7.612,1.146,5.224,0.0
7.717,1.148,4.534,0.0
7.821,1.119,5.32,0.0
7.926,1.119,4.494,0.0
8.03,1.115,5.442,0.0
8.134,1.09,4.466,0.0
8.238,1.146,5.53,0.0
8.342,1.145,4.534,0.0
8.447,1.116,5.5,0.0
8.551,1.143,4.494,0.0
8.656,1.114,5.48,0.0
8.76,1.088,4.536,0.0
8.865,1.112,5.432,0.0
8.968,1.142,4.522,0.0
9.072,1.115,5.498,0.0
9.177,1.14,4.54,0.0
9.281,1.085,5.454,0.0
9.386,1.092,4.508,0.0
9.49,1.114,5.478,0.0
9.594,1.087,5.222,0.0
9.698,1.121,4.39,0.0
9.803,1.143,5.444,0.0
9.907,1.113,4.544,0.0
10.011,1.113,5.432,0.0
10.116,1.089,4.536,0.0
10.22,1.084,5.446,0.0
10.325,1.084,4.538,0.0
10.428,1.084,5.456,0.0
10.533,1.14,4.502,0.0
10.637,1.137,5.494,0.0
10.742,1.141,5.224,0.0
10.846,1.113,4.404,0.0
10.95,1.112,5.39,0.0
11.055,1.111,4.538,0.0
11.159,1.083,5.446,0.0
11.264,1.111,4.506,0.0
11.368,1.084,5.476,0.0
11.473,1.113,4.508,0.0
11.576,1.136,5.498,0.0
11.681,1.14,4.52,0.0
11.785,1.123,4.774,0.0
11.889,1.109,5.598,0.0
11.994,1.11,4.606,0.0
12.098,1.082,5.498,0.0
12.203,1.097,4.532,0.0
12.307,1.083,5.49,0.0
12.412,1.086,4.508,0.0
12.515,1.086,5.48,0.0
12.62,1.14,4.508,0.0
12.724,1.11,5.488,0.0
12.828,1.138,4.524,0.0
12.933,1.11,5.486,0.0
13.037,1.137,4.524,0.0
13.142,1.11,5.502,0.0
13.246,1.107,4.538,0.0
13.351,1.108,5.448,0.0
13.455,1.11,4.52,0.0
13.559,1.117,5.482,0.0
13.663,1.111,4.52,0.0
13.767,1.108,5.47,0.0
13.872,1.137,4.518,0.0
13.976,1.108,4.782,0.0
14.081,1.078,5.588,0.0
14.185,1.109,4.616,0.0
14.29,1.134,5.492,0.0
14.394,1.113,4.522,0.0
14.499,1.107,5.488,0.0
14.602,1.138,4.52,0.0
14.706,1.135,5.498,0.0
14.811,1.11,4.532,0.0
14.915,1.106,5.468,0.0
15.02,1.111,4.522,0.0
15.124,1.08,4.798,0.0
15.229,1.078,5.58,0.0
15.333,1.08,4.616,0.0
15.438,1.08,5.492,0.0
15.541,1.107,4.536,0.0
15.645,1.106,5.448,0.0
15.75,1.135,4.538,0.0
15.854,1.134,5.446,0.0
15.959,1.135,4.514,0.0
16.063,1.132,5.492,0.0
16.168,1.079,4.52,0.0
16.272,1.087,5.486,0.0
16.377,1.08,4.534,0.0
16.481,1.077,5.44,0.0
16.584,1.106,4.536,0.0
16.689,1.104,5.458,0.0
16.793,1.134,4.52,0.0
16.898,1.132,5.5,0.0
17.002,1.133,4.538,0.0
17.107,1.13,5.44,0.0
17.211,1.108,4.528,0.0
17.316,1.105,4.806,0.0
17.42,1.104,5.574,0.0
17.524,1.104,4.572,0.0
17.628,1.116,5.474,0.0
17.732,1.107,4.536,0.0
17.837,1.105,5.446,0.0
17.941,1.134,4.498,0.0
18.046,1.103,5.472,0.0
18.15,1.133,4.51,0.0
18.255,1.127,5.486,0.0
18.359,1.105,5.194,0.0
18.463,1.108,4.44,0.0
18.568,1.105,5.436,0.0
18.671,1.132,4.494,0.0
18.776,1.131,5.492,0.0
18.88,1.107,4.672,0.0
18.985,1.104,5.19,0.0
19.089,1.107,5.086,0.0
19.194,1.079,4.62,0.0
19.298,1.079,5.442,0.0
19.403,1.102,4.516,0.0
19.507,1.079,4.81,0.0
19.61,1.072,5.576,0.0
19.715,1.133,4.564,0.0
19.819,1.129,5.5,0.0
19.924,1.129,4.534,0.0
20.028,1.113,5.446,0.0
20.133,1.133,4.536,0.0
20.237,1.076,5.442,0.0
20.342,1.103,4.536,0.0
20.446,1.073,5.442,0.0
20.55,1.102,5.194,0.0
20.654,1.106,4.458,0.0
20.758,1.129,5.444,0.0
20.863,1.13,4.52,0.0
