time,voltage,current,power,pwm,state,stop_reason
0.0,1.345,0.0,0.0,10,1,0
0.103,1.344,0.526,0.707,20,1,0
0.208,1.309,0.922,1.206,30,1,0
0.312,1.303,1.474,1.92,40,1,0
0.417,1.265,1.366,1.728,50,1,0
0.521,1.234,2.422,2.988,60,1,0
0.625,1.265,2.14,2.706,70,1,0
0.729,1.255,3.222,4.044,80,1,0
0.833,1.215,3.082,3.745,90,1,0
0.938,1.183,3.332,3.942,100,1,0
1.042,1.179,4.404,5.192,108,1,0
1.146,1.176,4.044,4.756,118,1,0
1.25,1.172,4.996,5.856,118,1,0
1.355,1.168,4.892,5.715,119,1,0
1.459,1.17,4.422,5.175,127,1,0
1.564,1.136,5.482,6.229,120,1,0
1.668,1.134,4.522,5.129,127,1,0
1.771,1.106,5.462,6.041,121,1,0
1.876,1.146,4.566,5.232,127,1,0
1.98,1.162,4.796,5.575,130,1,0
2.085,1.131,5.588,6.322,122,1,0
2.189,1.114,4.592,5.115,128,1,0
2.294,1.131,5.526,6.252,121,1,0
2.398,1.135,4.562,5.179,127,1,0
2.502,1.102,5.474,6.033,120,1,0
2.606,1.162,4.498,5.229,127,1,0
2.71,1.16,5.478,6.352,120,1,0
2.815,1.134,4.534,5.143,126,1,0
2.919,1.116,5.42,6.047,120,1,0
3.024,1.132,4.53,5.129,127,1,0
3.128,1.102,4.804,5.295,129,1,0
3.232,1.138,5.562,6.33,121,1,0
3.336,1.162,4.562,5.303,127,1,0
3.441,1.131,5.476,6.195,120,1,0
3.545,1.16,4.51,5.23,127,1,0
3.649,1.127,5.46,6.156,121,1,0
3.754,1.101,4.558,5.019,127,1,0
3.858,1.129,5.476,6.185,120,1,0
3.962,1.159,4.514,5.23,127,1,0
4.066,1.129,5.42,6.121,121,1,0
4.171,1.134,5.236,5.939,118,1,0
4.275,1.157,4.436,5.131,126,1,0
4.38,1.126,5.45,6.139,120,1,0
4.484,1.099,4.546,4.997,126,1,0
4.588,1.129,4.766,5.383,129,1,0
4.692,1.125,5.564,6.257,121,1,0
4.796,1.13,4.562,5.157,127,1,0
4.901,1.152,5.464,6.293,121,1,0
5.005,1.155,4.566,5.272,127,1,0
5.11,1.103,5.462,6.025,121,1,0
5.214,1.125,5.236,5.893,118,1,0
5.318,1.126,4.452,5.015,126,1,0
5.422,1.125,5.444,6.127,120,1,0
5.526,1.125,4.514,5.076,127,1,0
5.631,1.153,5.454,6.287,121,1,0
5.735,1.154,4.54,5.238,127,1,0
5.84,1.098,5.466,6.003,121,1,0
5.944,1.125,4.566,5.135,127,1,0
6.048,1.096,5.464,5.99,121,1,0
6.152,1.133,4.57,5.179,127,1,0
6.257,1.153,4.774,5.503,130,1,0
6.361,1.12,5.604,6.275,121,1,0
6.465,1.105,4.558,5.037,127,1,0
6.57,1.123,5.48,6.152,120,1,0
6.674,1.125,4.506,5.067,127,1,0
6.778,1.149,5.488,6.305,120,1,0
6.882,1.148,4.524,5.193,127,1,0
6.987,1.122,5.456,6.119,121,1,0
7.091,1.15,4.554,5.236,127,1,0
7.196,1.119,5.472,6.121,120,1,0
7.3,1.12,4.536,5.079,126,1,0
7.404,1.124,4.76,5.348,129,1,0
7.508,1.121,5.57,6.242,121,1,0
7.612,1.121,4.566,5.117,127,1,0
7.717,1.127,5.484,6.183,120,1,0
7.821,1.147,4.528,5.193,127,1,0
7.926,1.144,5.476,6.264,120,1,0
8.03,1.092,4.514,4.931,127,1,0
8.135,1.12,5.476,6.131,120,1,0
8.238,1.146,4.524,5.184,127,1,0
8.342,1.118,5.474,6.118,120,1,0
8.447,1.147,5.216,5.982,117,1,0
8.551,1.148,4.396,5.046,126,1,0
8.656,1.09,5.422,5.912,120,1,0
8.76,1.12,4.534,5.076,126,1,0
8.864,1.088,5.438,5.919,120,1,0
8.968,1.118,4.526,5.059,127,1,0
