time,voltage,current,power,pwm,running,stop_reason
0.001,0.804,0.000,0.000,0,0,1
0.105,0.795,0.000,0.000,0,0,1
0.209,0.792,0.000,0.000,0,0,1
0.313,0.797,0.000,0.000,0,0,1
0.417,0.806,0.000,0.000,0,0,1
0.522,0.801,0.000,0.000,0,0,1
0.625,0.793,0.000,0.000,0,0,1
0.729,0.796,0.000,0.000,0,0,1
0.833,0.806,0.000,0.000,0,0,1
0.937,0.811,0.000,0.000,0,0,1
1.042,0.818,0.000,0.000,0,0,1
1.145,0.821,0.000,0.000,0,0,1
1.250,0.904,0.000,0.000,0,0,1
1.353,0.984,0.000,0.000,0,0,1
1.457,1.005,0.000,0.000,0,0,1
1.562,1.001,0.000,0.000,0,0,1
1.665,1.014,0.000,0.000,0,0,1
1.770,1.054,0.000,0.000,0,0,1
1.874,1.081,0.000,0.000,0,0,1
1.978,1.043,0.000,0.000,0,0,1
2.082,1.023,0.000,0.000,0,0,1
2.186,1.043,0.000,0.000,0,0,1
2.290,1.037,0.000,0.000,0,0,1
2.394,1.030,0.000,0.000,0,0,1
2.498,1.012,0.000,0.000,0,0,1
2.602,1.016,0.000,0.000,0,0,1
2.706,1.000,0.000,0.000,0,0,1
2.810,1.010,0.000,0.000,0,0,1
2.915,1.051,0.000,0.000,0,0,1
3.018,1.040,0.000,0.000,0,0,1
3.122,1.047,0.000,0.000,0,0,1
3.227,1.073,0.000,0.000,0,0,1
3.330,1.020,0.000,0.000,0,0,1
3.435,1.012,0.000,0.000,0,0,1
3.538,0.884,0.000,0.000,0,0,1
3.643,0.913,0.000,0.000,0,0,1
3.747,0.907,0.000,0.000,0,0,1
3.851,0.921,0.000,0.000,0,0,1
3.955,0.905,0.000,0.000,0,0,1
4.059,0.883,0.000,0.000,0,0,1
4.163,0.882,0.000,0.000,0,0,1
4.267,0.873,0.000,0.000,0,0,1
4.372,0.902,0.000,0.000,0,0,1
4.475,0.872,0.000,0.000,0,0,1
4.580,0.907,0.000,0.000,0,0,1
4.683,0.924,0.000,0.000,0,0,1
4.787,0.929,0.000,0.000,0,0,1
