ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175867.956428,506,512,15,15,0,100,130500,23.3,537.3299999999999
1782175868.056758,506,512,15,15,0,100,130500,23.3,537.3299999999999
1782175868.1560965,505,512,14,14,0,100,139821,21.8,568.25
1782175868.2564306,506,512,15,15,0,100,130500,23.3,537.3299999999999
1782175868.356765,505,512,14,14,0,100,139821,21.8,568.25
1782175868.4562547,506,513,15,15,1,99.52859547920897,130500,23.3,536.8585954792089
1782175868.5564783,506,512,15,15,0,99.54824604854737,130500,23.3,556.8782460485473
1782175868.6568487,506,513,15,15,1,99.56698729810778,130500,23.3,536.8969872981078
1782175868.7562122,507,512,16,16,0,99.43344227626747,122343,24.9,529.7334422762675
1782175868.8565283,506,512,15,15,0,99.46148351928655,130500,23.3,556.7914835192865
1782175868.9568307,507,513,16,16,1,99.39697731084448,122343,24.9,509.6969773108445
1782175869.0562487,507,512,16,16,0,99.35990452101095,122343,24.9,529.659904521011
1782175869.1565042,506,512,15,15,0,99.38461538461539,130500,23.3,556.7146153846154
1782175869.2568812,507,512,16,16,0,99.36112343500005,122343,24.9,529.661123435
1782175869.3562183,506,512,15,15,0,99.38175876696695,130500,23.3,556.7117587669669
1782175869.4565384,507,513,16,16,1,99.36569427718173,122343,24.9,509.66569427718173
1782175869.5568862,506,512,15,15,0,99.38305361872344,130500,23.3,556.7130536187234
1782175869.6562119,506,513,15,15,1,99.39907478742266,130500,23.3,536.7290747874226
1782175869.7565622,506,513,15,15,1,99.41391954075473,130500,23.3,536.7439195407547
1782175869.8569207,504,512,13,13,0,99.26006757065257,150576,20.2,623.2000675706525
1782175869.956225,506,512,15,15,0,99.2778213862808,130500,23.3,556.6078213862808
1782175870.0566247,505,512,14,14,0,99.26145105412401,139821,21.8,587.511451054124
1782175870.155906,507,512,16,16,0,99.24944884775513,122343,24.9,529.5494488477551
1782175870.2562325,507,512,16,16,0,99.24079720173798,122343,24.9,529.540797201738
1782175870.356617,506,513,15,15,1,99.25595699049047,130500,23.3,536.5859569904904
1782175870.455933,507,512,16,16,0,99.2492607193868,122343,24.9,529.5492607193868
1782175870.556313,505,513,14,14,1,99.23377181979343,139821,21.8,567.4837718197934
1782175870.657172,506,513,15,15,1,99.24745330336766,130500,23.3,536.5774533033676
