ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782180049.4826899,506,514,6,6,2,100,29375,100.0,60.0,2,0.0
1782180049.5820816,506,513,6,6,1,100,29375,100.0,60.0,2,50.0
1782180049.6822832,506,510,6,6,2,100,29375,100.0,60.0,2,0.0
1782180049.7826693,504,513,8,8,1,100,29375,100.0,60.0,2,50.0
1782180049.8820128,504,514,8,8,2,100,29375,100.0,60.0,2,0.0
1782180049.982363,506,514,6,6,2,99.05719095841793,29375,100.0,60.0,2,0.0
1782180050.082729,505,513,7,7,1,99.1193694281473,29375,100.0,60.0,2,50.0
1782180050.1821518,505,513,7,7,1,99.17084380241116,29375,100.0,60.0,2,50.0
1782180050.2823472,506,513,6,6,1,99.18350341907228,29375,100.0,60.0,2,50.0
1782180050.382687,505,513,7,7,1,99.21897503240933,29375,100.0,60.0,2,50.0
1782180050.4821837,505,512,7,7,0,99.25034443170588,29375,100.0,60.0,2,100.0
1782180050.5824156,504,513,8,8,1,99.20069474611455,29375,100.0,60.0,2,50.0
1782180050.6827197,506,513,6,6,1,99.20059193496822,29375,100.0,60.0,2,50.0
1782180050.782155,506,513,6,6,1,99.20460509102428,29375,100.0,60.0,2,50.0
1782180050.882576,506,513,6,6,1,99.21118936225338,29375,100.0,60.0,2,50.0
1782180050.9827075,506,514,6,6,2,99.2193752502002,29375,100.0,60.0,2,0.0
1782180051.0821133,503,513,9,9,1,99.05882352941177,29375,100.0,60.0,2,50.0
1782180051.1826143,506,513,6,6,1,99.06871918809776,29375,100.0,60.0,2,50.0
1782180051.2827137,506,513,6,6,1,99.07932338502442,29375,100.0,60.0,2,50.0
1782180051.382079,506,509,6,6,3,99.09032973006698,29375,100.0,60.0,3,0.0
1782180051.4824073,505,513,7,7,1,99.10912919362525,29375,100.0,60.0,3,66.66666666666666
1782180051.5828733,503,513,9,9,1,99.00310399093358,29375,100.0,60.0,3,66.66666666666666
1782180051.6821558,504,513,8,8,1,98.9934054867139,29375,100.0,60.0,3,66.66666666666666
1782180051.7824347,506,513,6,6,1,99.00086843264319,29375,100.0,60.0,3,66.66666666666666
1782180051.882177,505,508,7,7,4,99.02020410288672,29375,100.0,60.0,4,0.0
1782180051.9821274,507,514,5,5,2,98.97877553481909,29375,100.0,60.0,4,50.0
1782180052.082483,507,510,5,5,2,98.94590744661053,29375,100.0,60.0,4,50.0
1782180052.1818225,506,513,6,6,1,98.95753432004811,29375,100.0,60.0,4,75.0
1782180052.2821214,505,513,7,7,1,98.9735947540595,29375,100.0,60.0,4,75.0
1782180052.38265,505,514,7,7,2,98.98894994079312,29375,100.0,60.0,4,50.0
1782180052.4820237,504,513,8,8,1,98.96935834441732,29375,100.0,60.0,4,75.0
1782180052.5821948,507,514,5,5,2,98.93073233784364,29375,100.0,60.0,4,50.0
1782180052.6824973,504,513,8,8,1,98.91423350167318,29375,100.0,60.0,4,75.0
1782180052.7820165,505,513,7,7,1,98.93750816996605,29375,100.0,60.0,4,75.0
1782180052.882209,506,512,6,6,0,98.9565016105001,29375,100.0,60.0,4,100.0
1782180052.982638,506,513,6,6,1,98.9565016105001,29375,100.0,60.0,4,75.0
